,Date,Symbol,Order,Shares
0,2008-02-14,AAPL,BUY,200
1,2008-06-20,AAPL,SELL,400
2,2008-07-21,AAPL,BUY,400
3,2008-09-04,AAPL,SELL,400
4,2008-09-30,AAPL,BUY,400
5,2009-02-25,AAPL,SELL,400
6,2009-05-04,AAPL,BUY,400
7,2009-12-07,AAPL,SELL,400
